"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_131"	"V3-30-3_J5*02"	7	0.000502656900761166
"Biotech_131"	"V3-33_J1*01"	7	0.000502656900761166
"Biotech_131"	"V3-48_J1*01"	7	0.000502656900761166
"Biotech_131"	"V3-53_J1*01"	7	0.000502656900761166
"Biotech_131"	"V3-64_J6*02"	7	0.000502656900761166
"Biotech_131"	"V3-72_J4*02"	7	0.000502656900761166
"Biotech_131"	"V3-73_J6*02"	7	0.000502656900761166
"Biotech_131"	"V4-31_J4*02,J5*02"	7	0.000502656900761166
"Biotech_131"	"V7-4-1_J1*01"	7	0.000502656900761166
"Biotech_132"	"V1-69_J4*02,J5*02"	7	0.000935954004546062
"Biotech_132"	"V3-30-3_J4*02,J5*02"	7	0.000935954004546062
"Biotech_132"	"V3-33_J2*01"	7	0.000935954004546062
"Biotech_132"	"V3-66_J4*02,J5*02"	7	0.000935954004546062
"CD0497"	"V3-49_J1*01"	7	0.000167889864249053
"CD0497"	"V5-10-1_J1*01"	7	0.000167889864249053
"CD0497"	"V5-51_J4*02,J5*02"	7	0.000167889864249053
"CD0838"	"V2-5_J2*01"	7	0.000595541943168283
"CD0838"	"V2-5_J6*03"	7	0.000595541943168283
"CD0838"	"V2-70_J6*02"	7	0.000595541943168283
"CD0838"	"V3-15_J2*01"	7	0.000595541943168283
"CD0838"	"V3-20_J6*03"	7	0.000595541943168283
"CD0838"	"V3-43_J1*01"	7	0.000595541943168283
"CD0838"	"V3-43_J6*02"	7	0.000595541943168283
"CD0838"	"V3-48_J4*02,J5*02"	7	0.000595541943168283
"CD0838"	"V3-73_J3*02"	7	0.000595541943168283
"CD0838"	"V3-73_J6*02"	7	0.000595541943168283
"CD0838"	"V4-34_J2*01"	7	0.000595541943168283
"CD0838"	"V4-34_J4*02,J5*02"	7	0.000595541943168283
"CD0838"	"V5-51_J2*01"	7	0.000595541943168283
"CD0838"	"V6-1_J5*02"	7	0.000595541943168283
"CD0844"	"V1-24_J2*01"	7	0.000134817611031933
"CD0844"	"V2-70_J2*01"	7	0.000134817611031933
"CD0844"	"V3-66_J4*02,J5*02"	7	0.000134817611031933
"CD0844"	"V6-1_J2*01"	7	0.000134817611031933
"CD0844"	"V7-4-1_J6*02"	7	0.000134817611031933
"CD1071"	"V1-45_J4*02"	7	0.000168768232996601
"CD1071"	"V1-69-2_J4*02,J5*02"	7	0.000168768232996601
"CD1071"	"V3-43_J4*02,J5*02"	7	0.000168768232996601
"CD1071"	"V3-49_J2*01"	7	0.000168768232996601
"CD1076"	"V2-70_J4*02,J5*02"	7	0.000182073557717318
"CD1081"	"V1-18_J2*01"	7	0.000229749245109623
"CD1081"	"V1-18_J4*02,J5*02"	7	0.000229749245109623
"CD1081"	"V1-69-2_J5*02"	7	0.000229749245109623
"CD1081"	"V3-7_J4*02,J5*02"	7	0.000229749245109623
"CD1081"	"V6-1_J2*01"	7	0.000229749245109623
"CD1086"	"V3-73_J4*02,J5*02"	7	0.000165700082850041
"CD1086"	"V3-74_J4*02,J5*02"	7	0.000165700082850041
"CD1086"	"V7-4-1_J2*01"	7	0.000165700082850041
"CD1096"	"V2-26_J3*02"	7	0.000783611328780925
"CD1096"	"V2-5_J6*03"	7	0.000783611328780925
"CD1096"	"V3-13_J2*01"	7	0.000783611328780925
"CD1096"	"V3-15_J1*01"	7	0.000783611328780925
"CD1096"	"V3-20_J4*02"	7	0.000783611328780925
"CD1096"	"V3-20_J5*02"	7	0.000783611328780925
"CD1096"	"V3-43_J2*01"	7	0.000783611328780925
"CD1096"	"V3-49_J2*01"	7	0.000783611328780925
"CD1096"	"V3-49_J5*02"	7	0.000783611328780925
"CD1096"	"V3-49_J6*03"	7	0.000783611328780925
"CD1096"	"V3-53_J5*02"	7	0.000783611328780925
"CD1096"	"V3-73_J3*02"	7	0.000783611328780925
"CD1096"	"V4-30-4_J6*03"	7	0.000783611328780925
"CD1096"	"V5-51_J4*02,J5*02"	7	0.000783611328780925
"CD1096"	"V7-4-1_J6*03"	7	0.000783611328780925
"CD1110"	"V1-3_J4*02"	7	0.000126123853624259
"CD1110"	"V2-70_J2*01"	7	0.000126123853624259
"CD1110"	"V3-49_J2*01"	7	0.000126123853624259
"CD1110"	"V3-74_J4*02,J5*02"	7	0.000126123853624259
"CD1110"	"V4-30-2_J1*01"	7	0.000126123853624259
"CD1110"	"V4-61_J1*01"	7	0.000126123853624259
"CD1110"	"V4-61_J4*02,J5*02"	7	0.000126123853624259
"CD1110"	"V5-10-1_J1*01"	7	0.000126123853624259
"CD1110"	"V6-1_J2*01"	7	0.000126123853624259
"CD1113"	"V2-5_J2*01"	7	0.00011511264594639
"CD1113"	"V4-30-2_J4*02,J5*02"	7	0.00011511264594639
"CD1114"	"V1-18_J6*03"	7	0.00422450211225106
"CD1114"	"V1-69_J5*02"	7	0.00422450211225106
"CD1114"	"V3-11_J6*02"	7	0.00422450211225106
"CD1114"	"V3-15_J4*02,J5*02"	7	0.00422450211225106
"CD1114"	"V3-20_J4*02"	7	0.00422450211225106
"CD1114"	"V3-30_J6*03"	7	0.00422450211225106
"CD1114"	"V4-31_J3*02"	7	0.00422450211225106
"CD1114"	"V4-31_J6*02"	7	0.00422450211225106
"CD1114"	"V4-31_J6*03"	7	0.00422450211225106
"CD1114"	"V4-34_J3*02"	7	0.00422450211225106
"CD1114"	"V4-4_J3*02"	7	0.00422450211225106
"CD1115"	"V1-58_J5*02"	7	0.000205652506022681
