"SUBJECTN"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"CD1169-Celiac#FALSE"	18	2408	0.0393599110805996
"HC_20_BB-Healthy#NA"	14	2406	0.051078464673913
"CD1362_HC-Healthy#NA"	8	2404	0.054437173071262
"HC_20_BB-Healthy#NA"	5	2399	0.0509298573369565
"CD1211-Celiac#M"	7	2397	0.060486007721618
"CD1076-Celiac#M"	12	2393	0.0622431462310774
"Biotech_092-Celiac#FALSE"	14	2391	0.0521380754050459
"Biotech_065-Celiac#M"	7	2389	0.0531325756733314
"CD1368-Celiac#NA"	6	2388	0.0561618062088429
"CD1071-Celiac#FALSE"	11	2387	0.0575499674518408
"CD1071-Celiac#FALSE"	15	2387	0.0575499674518408
"CD1129-Celiac#M"	11	2386	0.0594567655120857
"HC_14_BB-Healthy#NA"	12	2384	0.063736498770185
"CD1205-Celiac#FALSE"	17	2372	0.0390144412645153
"CD1127-Celiac#M"	13	2371	0.0610720449218247
"CD1127-Celiac#M"	6	2370	0.0610462869948227
"Biotech_050-Healthy#M"	11	2368	0.0607350791248814
"CD1368-Celiac#NA"	16	2365	0.055620884289746
"BC_18-Healthy#NA"	8	2363	0.0465157480314961
"Biotech_067-Celiac#FALSE"	12	2362	0.0652071888026944
"CD1086-Celiac#M"	16	2362	0.0559119422416854
"CD1212-Celiac#M"	14	2362	0.0609391124871001
"CD1127-Celiac#M"	12	2360	0.0607887077248023
"CD1110-Celiac#FALSE"	6	2359	0.0425037386713753
"Biotech_065-Celiac#M"	16	2358	0.0524431198985833
"Biotech_107-Healthy#FALSE"	7	2358	0.0575585227134035
"CD0497-Celiac#FALSE"	15	2357	0.0565309157192881
"CD1071-Celiac#FALSE"	14	2355	0.0567784555295706
"CD1212-Celiac#M"	15	2349	0.0606037151702786
"BC_13-Healthy#NA"	19	2344	0.0340826475121412
"Biotech_087-Celiac#FALSE"	12	2342	0.0665870578869555
"HC_35_BB-Healthy#NA"	14	2340	0.0592465059752886
"CD1205-Celiac#FALSE"	18	2339	0.038471660251982
"Biotech_097-Celiac#FALSE"	15	2338	0.0560496727638866
"Biotech_090-Celiac#FALSE"	13	2337	0.0678709377631923
"CD1113-Celiac#FALSE"	18	2336	0.0384147344186811
"BC_17-Healthy#NA"	7	2334	0.0554526015680684
"HC_24_BB-Healthy#NA"	15	2332	0.0531667502621859
"BC_12-Healthy#NA"	14	2331	0.0579519180568332
"Biotech_108-Healthy#M"	15	2328	0.0545940621922049
"Biotech_090-Celiac#FALSE"	12	2322	0.067435309151105
"HC_23_BB-Healthy#NA"	5	2321	0.0440835707502374
"BC_17-Healthy#NA"	8	2319	0.055096222380613
"Biotech_050-Healthy#M"	6	2318	0.0594526661366026
"CD1212-Celiac#M"	11	2313	0.0596749226006192
"CD1202-Celiac#FALSE"	7	2311	0.0484821784463046
"CD1110-Celiac#FALSE"	10	2308	0.0415848363092557
"Biotech_107-Healthy#FALSE"	15	2305	0.0562647984963507
"CD1362_HC-Healthy#NA"	10	2303	0.0521500871809968
"CD1208-Celiac#FALSE"	7	2302	0.0489787234042553
"CD1362_HC-Healthy#NA"	15	2300	0.0520821539367315
"Biotech_092-Celiac#FALSE"	8	2298	0.0501101201508973
"HC_11_BB-Healthy#NA"	13	2297	0.0566363389797076
"CD1125-Celiac#FALSE"	14	2295	0.0581645842309349
"CD1362_HC-Healthy#NA"	9	2294	0.0519462874482009
"Biotech_092-Celiac#FALSE"	9	2289	0.0499138664166249
"CD0497-Celiac#FALSE"	5	2289	0.0548999856094402
"HC_11_BB-Healthy#NA"	12	2289	0.0564390857311931
"BC_10-Healthy#NA"	14	2287	0.0582972215141473
"HC_20_BB-Healthy#NA"	10	2287	0.0485521399456522
"Biotech_108-Healthy#M"	9	2286	0.0536091177712115
"CD1129-Celiac#M"	6	2286	0.056964864191378
"CD1129-Celiac#M"	15	2285	0.0569399451781709
"BC_12-Healthy#NA"	7	2282	0.056733709569152
"HC_23_BB-Healthy#NA"	10	2281	0.04332383665717
"HC_24_BB-Healthy#NA"	7	2279	0.0519584150289545
"CD1076-Celiac#M"	6	2277	0.0592259272746189
"CD1211-Celiac#M"	14	2277	0.0574579222286709
"Biotech_108-Healthy#M"	5	2276	0.0533746071947845
"Biotech_067-Celiac#FALSE"	13	2272	0.0627225795765122
"Biotech_086-Healthy#FALSE"	16	2270	0.0530398616757792
"HC_16_BB-Healthy#NA"	12	2270	0.0618511757172829
"BC_14-Healthy#NA"	17	2266	0.0403009230440891
"Biotech_092-Celiac#FALSE"	15	2266	0.0494123290957064
"HC_24_BB-Healthy#NA"	16	2266	0.0516620309151429
"Biotech_087-Celiac#FALSE"	6	2262	0.0643125213237803
"HC_14_BB-Healthy#NA"	14	2258	0.0603678750935729
"CD1076-Celiac#M"	14	2255	0.0586536960932217
"BC_10-Healthy#NA"	7	2252	0.0574050471577874
"HC_35_BB-Healthy#NA"	15	2250	0.0569677942070083
"CD1076-Celiac#M"	11	2249	0.0584976330437497
"CD1120-Celiac#FALSE"	12	2249	0.0682673627974745
"Biotech_065-Celiac#M"	5	2248	0.0499966639236706
"Biotech_108-Healthy#M"	7	2247	0.0526945265231462
"CD1202-Celiac#FALSE"	10	2233	0.0468458262529633
"CD1202-Celiac#FALSE"	9	2230	0.0467828896301424
"CD1208-Celiac#FALSE"	10	2230	0.0474468085106383
"HC_20_BB-Healthy#NA"	9	2230	0.0473420516304348
"HC_35_BB-Healthy#NA"	6	2229	0.0564360947944096
"CD1110-Celiac#FALSE"	19	2228	0.0401434208392642
"BC_17-Healthy#NA"	15	2226	0.0528866714183892
"Biotech_090-Celiac#FALSE"	6	2226	0.0646472860337467
"CD1127-Celiac#M"	11	2226	0.0573371455065296
"Biotech_097-Celiac#FALSE"	7	2224	0.0533167118164601
"CD1125-Celiac#FALSE"	11	2224	0.0563651570063614
"CD1362_HC-Healthy#NA"	5	2221	0.0502932451710786
"HC_21_BB-Healthy#NA"	19	2220	0.0369993833436109
"Biotech_065-Celiac#M"	9	2219	0.0493516891666481
"Biotech_067-Celiac#FALSE"	6	2218	0.0612318140408028
