"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"HC_16_BB"	"J5*02"	4818	0.131277076918885	NA
"HC_31_BB"	"J3*02"	4798	0.152773355409794	NA
"Biotech_090"	"J3*02"	4786	0.138994569163303	NA
"CD1362_HC"	"J6*03"	4773	0.108081791626095	NA
"HC_14_BB"	"J3*02"	4771	0.127553202866004	NA
"CD1129"	"J5*02"	4758	0.118564664839272	NA
"CD1096"	"J4*02"	4748	0.531512369864547	NA
"HC_11_BB"	"J5*02"	4715	0.116256133343196	NA
"Biotech_092"	"J3*02"	4701	0.10250986720164	NA
"Biotech_081"	"J3*02"	4679	0.148544398234865	NA
"CD1368"	"J5*02"	4650	0.109360301034807	NA
"CD1071"	"J3*02"	4637	0.111796899486462	NA
"CD1115"	"J3*02"	4620	0.135730653974969	NA
"Biotech_064"	"J5*02"	4596	0.133939499912572	NA
"Biotech_097"	"J3*02"	4596	0.110181478196246	NA
"CD1086"	"J3*02"	4564	0.108036454018227	NA
"Biotech_092"	"J6*03"	4535	0.098890076102837	NA
"CD1081"	"J6*02"	4524	0.148483654982276	NA
"HC_22_BB"	"J3*02"	4442	0.13426429694112	NA
"HC_12_BB"	"J6*02"	4400	0.216684723726977	NA
"Biotech_078"	"J6*02"	4389	0.243616785079929	NA
"Biotech_105"	"J6*02"	4371	0.265989168137285	NA
"HC_14_BB"	"J5*02"	4362	0.116618543471286	NA
"HC_11_BB"	"J6*03"	4350	0.107256453879725	NA
"CD0844"	"J3*02"	4330	0.0833943222526097	NA
"Biotech_045"	"J5*02"	4323	0.127371832645846	NA
"CD1187"	"J4*02"	4260	0.48070412999323	NA
"Biotech_111"	"J5*02"	4171	0.122467555346761	NA
"HC_15_BB"	"J6*02"	4146	0.169031311154599	NA
"Biotech_087"	"J5*02"	4129	0.117394518366883	NA
"Biotech_111"	"J6*02"	4125	0.121116918198367	NA
"Biotech_050"	"J6*03"	4115	0.105542588935341	NA
"CD1202"	"J6*02"	4113	0.0862861098873434	NA
"CD1076"	"J3*02"	4109	0.106877178380066	NA
"HC_31_BB"	"J6*02"	4104	0.130675667069987	NA
"CD1115"	"J5*02"	4089	0.120130442446677	NA
"Biotech_064"	"J3*02"	4063	0.118406481319578	NA
"Biotech_107"	"J5*02"	4030	0.0983718602777846	NA
"Biotech_100"	"J5*02"	4022	0.134753911615908	NA
"CD1120"	"J5*02"	3972	0.120568237008256	NA
"CD1211"	"J5*02"	3959	0.0999015872214792	NA
"HC_35_BB"	"J3*02"	3959	0.100237998784687	NA
"CD1362_HC"	"J6*02"	3951	0.0894680826974027	NA
"Biotech_129"	"J3*02"	3945	0.127225232198142	NA
"CD1202"	"J6*03"	3915	0.0821322927811694	NA
"Biotech_067"	"J5*02"	3905	0.10780443364713	NA
"CD0497"	"J5*02"	3903	0.0936105914520075	NA
"BC_10"	"J3*02"	3889	0.0991333163395361	NA
"Biotech_094"	"J3*02"	3864	0.125012132388625	NA
"HC_16_BB"	"J6*02"	3853	0.104983515435547	NA
"CD1120"	"J3*02"	3850	0.116864983001457	NA
"CD1081"	"J3*02"	3844	0.126165156885913	NA
