"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"213"	"HC_30_BB"	"1-rFrame"	5334	0.461378773462503	NA
"214"	"CD0838"	"1-rFrame"	5279	0.460525167931606	NA
"215"	"Biotech_083"	"2-rFrame"	5150	0.249201587147973	NA
"216"	"CD1268"	"2-rFrame"	5143	0.242285768125501	NA
"217"	"Biotech_078"	"0-rFrame"	5058	0.288106630211893	NA
"218"	"Biotech_121"	"2-rFrame"	4993	0.248531607765057	NA
"219"	"HC_13_BB"	"2-rFrame"	4955	0.250784492357526	NA
"220"	"HC_12_BB"	"2-rFrame"	4951	0.251205033233548	NA
"221"	"CD1149"	"0-rFrame"	4669	0.289048473967684	NA
"222"	"Biotech_105"	"0-rFrame"	4528	0.282083229504112	NA
"223"	"Biotech_106"	"1-rFrame"	4482	0.458048032703117	NA
"224"	"Biotech_078"	"2-rFrame"	4361	0.248405103668262	NA
"225"	"HC_33_BB"	"0-rFrame"	4195	0.275045895620247	NA
"226"	"Biotech_103"	"1-rFrame"	4116	0.470185058259082	NA
"227"	"HC_32_BB"	"0-rFrame"	4078	0.271143617021277	NA
"228"	"CD1096"	"1-rFrame"	4033	0.46324373994946	NA
"229"	"Biotech_105"	"2-rFrame"	4019	0.250373785198106	NA
"230"	"Biotech_131"	"0-rFrame"	4008	0.295640628457623	NA
"231"	"HC_38_BB"	"0-rFrame"	4002	0.311076564321803	NA
"232"	"Biotech_115"	"0-rFrame"	3978	0.28099173553719	NA
"233"	"HC_33_BB"	"2-rFrame"	3922	0.257146603724102	NA
"234"	"CD1187"	"1-rFrame"	3884	0.450580046403712	NA
"235"	"CD1149"	"2-rFrame"	3862	0.239088714170742	NA
"236"	"Biotech_091"	"0-rFrame"	3804	0.288991871153992	NA
"237"	"HC_32_BB"	"2-rFrame"	3634	0.241622340425532	NA
"238"	"Biotech_131"	"2-rFrame"	3552	0.262004868333702	NA
"239"	"Biotech_080"	"0-rFrame"	3482	0.280738531000564	NA
"240"	"Biotech_120"	"1-rFrame"	3429	0.465833446542589	NA
"241"	"HC_30_BB"	"0-rFrame"	3378	0.29218925698469	NA
"242"	"Biotech_132"	"1-rFrame"	3356	0.461686614389875	NA
"243"	"Biotech_115"	"2-rFrame"	3314	0.234089143180052	NA
"244"	"CD0838"	"0-rFrame"	3312	0.288929599581261	NA
"245"	"Biotech_091"	"2-rFrame"	3298	0.250550786294918	NA
"246"	"Biotech_075"	"1-rFrame"	3274	0.448985189248492	NA
"247"	"Biotech_072"	"1-rFrame"	3177	0.456399942536992	NA
"248"	"Biotech_080"	"2-rFrame"	3129	0.252277674756107	NA
"249"	"Biotech_101"	"1-rFrame"	2988	0.455418381344307	NA
"250"	"Biotech_079"	"1-rFrame"	2892	0.444854637748039	NA
"251"	"CD0838"	"2-rFrame"	2872	0.250545232487133	NA
"252"	"HC_30_BB"	"2-rFrame"	2849	0.246431969552807	NA
"253"	"HC_38_BB"	"2-rFrame"	2820	0.219199378157792	NA
"254"	"Biotech_106"	"0-rFrame"	2796	0.285743484925907	NA
"255"	"Biotech_106"	"2-rFrame"	2507	0.256208482370976	NA
"256"	"CD1096"	"0-rFrame"	2473	0.284056972203078	NA
"257"	"CD1187"	"0-rFrame"	2449	0.284106728538283	NA
"258"	"Biotech_103"	"0-rFrame"	2357	0.269248343614348	NA
"259"	"CD1187"	"2-rFrame"	2287	0.265313225058005	NA
"260"	"Biotech_103"	"2-rFrame"	2281	0.260566598126571	NA
"261"	"CD1096"	"2-rFrame"	2200	0.252699287847462	NA
"262"	"Biotech_132"	"0-rFrame"	2126	0.292474893382859	NA
"263"	"Biotech_120"	"0-rFrame"	2106	0.286102431734819	NA
"264"	"Biotech_075"	"0-rFrame"	2085	0.285929786066923	NA
"265"	"Biotech_093"	"1-rFrame"	2069	0.459063678721988	NA
"266"	"Biotech_072"	"0-rFrame"	2057	0.295503519609252	NA
"267"	"Biotech_075"	"2-rFrame"	1933	0.265085024684586	NA
"268"	"Biotech_079"	"0-rFrame"	1908	0.293493308721735	NA
"269"	"Biotech_120"	"2-rFrame"	1826	0.248064121722592	NA
"270"	"Biotech_101"	"0-rFrame"	1814	0.276482243560433	NA
"271"	"Biotech_132"	"2-rFrame"	1787	0.245838492227266	NA
"272"	"Biotech_101"	"2-rFrame"	1759	0.26809937509526	NA
"273"	"Biotech_127"	"1-rFrame"	1759	0.470069481560663	NA
"274"	"Biotech_072"	"2-rFrame"	1727	0.248096537853757	NA
"275"	"Biotech_079"	"2-rFrame"	1701	0.261652053530226	NA
"276"	"Biotech_085"	"1-rFrame"	1370	0.482224568813798	NA
"277"	"Biotech_093"	"0-rFrame"	1297	0.287774572886621	NA
"278"	"HC_37_BB"	"1-rFrame"	1220	0.487220447284345	NA
"279"	"Biotech_093"	"2-rFrame"	1141	0.253161748391391	NA
"280"	"Biotech_099"	"1-rFrame"	1042	0.463523131672598	NA
"281"	"Biotech_127"	"0-rFrame"	1026	0.274184927846072	NA
"282"	"Biotech_127"	"2-rFrame"	957	0.255745590593266	NA
"283"	"Biotech_085"	"0-rFrame"	760	0.267511439633932	NA
"284"	"CD1114"	"1-rFrame"	734	0.452248921749846	NA
"285"	"Biotech_085"	"2-rFrame"	711	0.25026399155227	NA
"286"	"HC_37_BB"	"0-rFrame"	704	0.281150159744409	NA
"287"	"HC_34_BB"	"1-rFrame"	700	0.445009535918627	NA
"288"	"Biotech_099"	"0-rFrame"	656	0.291814946619217	NA
"289"	"HC_37_BB"	"2-rFrame"	580	0.231629392971246	NA
"290"	"Biotech_099"	"2-rFrame"	550	0.244661921708185	NA
"291"	"CD1114"	"0-rFrame"	485	0.29882932840419	NA
"292"	"HC_34_BB"	"0-rFrame"	464	0.294977749523204	NA
"293"	"HC_34_BB"	"2-rFrame"	409	0.260012714558169	NA
"294"	"CD1114"	"2-rFrame"	404	0.248921749845964	NA
